# prefix,country_code,region,city,postcode
2a14:7580:fffa::/48,CH,,Bern,
2a14:7583:f701::/48,KP,,Pyongyang,
2a14:7583:f702::/48,CN,CN-ZJ,Ningbo,
2a14:7583:f703::/48,HK,,Hong Kong,
2a14:7583:f704::/48,US,US-NY,New York,
2a14:7583:f705::/48,US,US-CA,Los Angeles,
2a14:7583:f706::/48,CN,CN-SH,Shanghai,201201
2a14:7583:f707::/48,AQ,,McMurdo Station,
2a14:7583:f709::/48,CN,CN-SH,Shanghai,201201
2a14:7583:f70a::/48,US,US-CA,Los Angeles,
2a14:7583:f70b::/48,HK,,Hong Kong,
2a14:7583:f70c::/48,HK,,Hong Kong,
2a14:7583:f743::/48,,,,
2a14:7583:f744::/48,AQ,,McMurdo Station,
2a14:7583:f764::/48,,,,
